species_name,scientific_name,variety_name,tree_type,category,zone,spacing,density_per_ha,carbon_potential,economic_value,management,maturity_years,harvest_season,special_features
Tamarind,Tamarindus indica,Sour Tamarind,Fruit tree,Culinary tree,Western_Plateau_Hills,10m x 10m,100,4.3,Culinary use,Traditional cultivation,10.0,March-June,High tartaric acid content
Sal,Shorea robusta,Indian Sal,Forest tree,Timber tree,Eastern_Plateau_Hills,6m x 6m,278,7.2,Quality timber,Forest management,25.0,Dry season,"Resin production, sacred tree"
Terminalia,Terminalia arjuna,Arjuna,Medicinal tree,Riverine species,Southern_Plateau_Hills,6m x 6m,278,5.8,Medicinal bark,Riverine agroforestry,6.0,Dry season,"Heart medicine, riverine adaptation"
Terminalia,Terminalia chebula,Haritaki,Medicinal tree,Ayurvedic tree,Western_Plateau_Hills,8m x 8m,156,5.5,Medicinal fruit,Organic cultivation,7.0,October-December,"Ayurvedic medicine, export value"
Poplar,Populus deltoides,G-48,Fast growing,Industrial tree,Upper_Gangetic_Plains,4m x 4m,625,4.2,"Plywood, matches",Short rotation,6.0,Winter,"Fast growth, industrial use"
Poplar,Populus deltoides,G-3,Fast growing,Agroforestry tree,Trans_Gangetic_Plains,5m x 5m,400,4.0,Farm boundaries,Boundary planting,7.0,Winter,Suitable for boundaries
Poplar,Populus deltoides,Udai,Fast growing,Commercial variety,Middle_Gangetic_Plains,4m x 4m,625,4.1,Pulp industry,Intensive cultivation,6.0,Winter,High volume production
Poplar,Populus deltoides,Solan,Fast growing,Hill variety,Trans_Gangetic_Plains,4m x 4m,625,3.8,Local industry,Hill adaptation,7.0,Winter,"Hill adaptation, cold tolerant"
Eucalyptus,Eucalyptus tereticornis,Red Gum,Fast growing,Industrial tree,Upper_Gangetic_Plains,3m x 3m,1111,3.5,"Pulp, poles",Coppicing system,5.0,Dry season,"Fast growth, coppicing ability"
Eucalyptus,Eucalyptus camaldulensis,River Red Gum,Fast growing,Drought tolerant,Western_Plateau_Hills,3m x 3m,1111,3.2,"Fuelwood, poles",Drought management,6.0,Dry season,"Drought tolerant, hardy"
Khejri,Prosopis cineraria,Desert Khejri,Desert tree,Arid zone tree,Western_Dry_Region,8m x 8m,156,2.5,"Fodder, fuelwood",Minimal water requirement,5.0,Year round,"Desert adaptation, sacred tree"
Khejri,Prosopis cineraria,Rajasthani Khejri,Desert tree,Multi-purpose desert tree,Gujarat_Plains_Hills,10m x 10m,100,2.3,"Pods, fodder",Traditional practices,6.0,Summer,"Nitrogen fixing, drought resistant"
Babool,Acacia nilotica,Indian Babool,Thorny tree,Multi-purpose tree,Gujarat_Plains_Hills,5m x 5m,400,3.0,"Gum, tannin",Coppicing management,4.0,Dry season,Gum arabic production
Babool,Acacia nilotica,Kikar,Thorny tree,Farm tree,Trans_Gangetic_Plains,6m x 6m,278,2.8,"Fuelwood, poles",Boundary planting,5.0,Winter,"Soil binding, hardy"
Rohida,Tecomella undulata,Desert Teak,Desert hardwood,Premium desert timber,Western_Dry_Region,8m x 8m,156,2.8,Premium timber,Water conservation,15.0,Dry season,"Desert teak, premium wood"
Ker,Capparis decidua,Desert Caper,Desert shrub,Food and fodder,Western_Dry_Region,3m x 3m,1111,1.8,"Capers, fodder",Natural regeneration,3.0,Summer,"Edible capers, drought resistant"
Cashew,Anacardium occidentale,Ullal-1,Nut tree,Plantation crop,West_Coast_Plains_Ghats,7m x 7m,204,3.2,Export crop,Coastal cultivation,3.0,March-May,"High kernel grade, export quality"
Cashew,Anacardium occidentale,Vengurla-4,Nut tree,High yielding variety,East_Coast_Plains_Hills,7m x 7m,204,3.0,High yield,Intensive cultivation,3.0,February-April,"High nut yield, regular bearing"
Cashew,Anacardium occidentale,BPP-6,Nut tree,Processing variety,East_Coast_Plains_Hills,7m x 7m,204,2.9,Processing grade,Mechanized harvesting,4.0,March-April,Suitable for processing
Casuarina,Casuarina equisetifolia,Coastal Casuarina,Coastal tree,Coastal protection,East_Coast_Plains_Hills,3m x 3m,1111,4.5,Coastal protection,Coastal plantation,5.0,Dry season,"Salt tolerant, windbreak"
Palmyra,Borassus flabellifer,Toddy Palm,Palm tree,Multi-purpose palm,East_Coast_Plains_Hills,8m x 8m,156,3.5,"Toddy, jaggery",Traditional tapping,12.0,Year round,"Toddy production, drought tolerant"
Betel nut,Areca catechu,Island Red,Nut palm,Commercial crop,Islands_Region,2.5m x 2.5m,1600,2.8,Commercial nut,Shade cultivation,6.0,Year round,"Island variety, red nut"
Betel nut,Areca catechu,Island Dwarf,Dwarf palm,High density crop,Islands_Region,2m x 2m,2500,2.5,Early bearing,High density planting,4.0,Year round,"Dwarf variety, early bearing"
