crop_name,variety_name,type,zone,season,duration_days,yield_potential,water_requirement,soil_preference,carbon_potential,characteristics,special_features
Sugarcane,Co-86032,High yielding,Western_Plateau_Hills,Annual,365,100-120 t/ha,2000-2500mm,Black cotton soils,3.8,High cane yield,Red rot resistant
Tea,Assam Tea,CTC type,Eastern_Himalayan,Perennial,365,2-3 t/ha,1500-2500mm,"Acidic, well-drained",4.5,High tannin,"Strong liquor, CTC suitable"
Tea,Darjeeling Tea,Orthodox type,Eastern_Himalayan,Perennial,365,1-1.5 t/ha,1200-2000mm,"Hill slopes, acidic",4.2,"Aromatic, delicate","Premium quality, muscatel flavor"
Cardamom,Malabar,Large cardamom,Eastern_Himalayan,Perennial,365,150-200 kg/ha,2500-3500mm,"Forest loam, shade",3.0,Shade loving,Queen of spices
Black Pepper,Panniyur-1,High yielding,West_Coast_Plains_Ghats,Perennial,365,2-3 kg/vine,2000-3000mm,"Lateritic, well-drained",2.5,High piperine content,King of spices
Ginger,Rio-de-Janeiro,High yielding,West_Coast_Plains_Ghats,Kharif,250,15-20 t/ha,1500-2000mm,Well-drained loam,2.0,High dry recovery,Export quality
Banana,Nendran,Cooking banana,West_Coast_Plains_Ghats,Perennial,365,40-50 t/ha,1800-2200mm,Deep alluvial,2.8,Large fruit,"Cooking variety, Kerala specialty"
Banana,Robusta,Table banana,Southern_Plateau_Hills,Perennial,365,50-60 t/ha,1500-2000mm,Red lateritic,3.0,Export quality,"Table purpose, export grade"
Potato,Kufri Jyoti,Early variety,Lower_Gangetic_Plains,Rabi,90,25-30 t/ha,4-5 irrigations,Well-drained loam,1.2,Early maturity,Processing quality
Potato,Kufri Pukhraj,Medium duration,Trans_Gangetic_Plains,Rabi,110,35-40 t/ha,5-6 irrigations,Fertile alluvial,1.4,High yielding,Table purpose
Onion,Nasik Red,Red onion,Western_Plateau_Hills,Rabi,120,30-40 t/ha,6-8 irrigations,Well-drained black,1.0,Good storage,"Export quality, pungent"
Tomato,Pusa Ruby,Determinate,Southern_Plateau_Hills,Rabi,75,40-50 t/ha,400-600mm,Well-drained fertile,0.8,Processing type,Suitable for sauce making
